Football#Morocco VS Haiti | World Cup#https://livecdn-tc-iptv.rumsport10.live/live_abr/451/720p/chunks.m3u8?is_vip=false&token=1782427595-Kv4cPTAAP5YTi-689c3f3f7d208b761cc35844479460e2aed4fad0-b7b5a87e4c6996c6f008901e800e2ec3
Football#Scotland VS Brazil | World Cup#https://livecdn-bp-livestream.rumsport10.live/sla/1-6a1c53fc9b944bf884932e52-cnhd/chunks.m3u8?is_vip=false&token=689c3f3f7d208b761cc35844479460e2aed4fad0&x-sign=767d7c408f2aba8eb2fcb3e5a42175b5&x-time=1782341160
Football#Scotland VS Brazil | World Cup#https://livecdn-tc-livestream.rumsport10.live/sla/1-6a1c53fc9b944bf884932e52-cnhd/chunks.m3u8?is_vip=false&token=1782427606-Kv4cPTAAP5YTi-689c3f3f7d208b761cc35844479460e2aed4fad0-1ee2c805e5ffa3ce82291aa130d5bd1f
Football#Scotland VS Brazil | World Cup#https://livecdn-bp-livestream.rumsport10.live/sla/1-6a1c53fc9b944bf884932e52-cnhd2/chunks.m3u8?is_vip=false&token=689c3f3f7d208b761cc35844479460e2aed4fad0&x-sign=dff5cbde3c93811d6f12b14831ca9d24&x-time=1782341160
Football#Scotland VS Brazil | World Cup#https://livecdn-tc-livestream.rumsport10.live/sla/1-6a1c53fc9b944bf884932e52-cnhd2/chunks.m3u8?is_vip=false&token=1782427607-Kv4cPTAAP5YTi-689c3f3f7d208b761cc35844479460e2aed4fad0-62ee51f169228037d4d488ae70546348
Football#Scotland VS Brazil | World Cup#https://livecdn-bp-livestream.rumsport10.live/sla/1-6a1c53fc9b944bf884932e52-fhd/chunks.m3u8?is_vip=false&token=689c3f3f7d208b761cc35844479460e2aed4fad0&x-sign=4d87b4197849acc60e3f751b5fc14b5d&x-time=1782341160
Football#Scotland VS Brazil | World Cup#https://livecdn-tc-livestream.rumsport10.live/sla/1-6a1c53fc9b944bf884932e52-fhd/chunks.m3u8?is_vip=false&token=1782427608-Kv4cPTAAP5YTi-689c3f3f7d208b761cc35844479460e2aed4fad0-4a8bfe8c77998fde988ffcf84abb55e9
Baseball#Baltimore Orioles VS Los Angeles Angels | MLB#https://livecdn-bp-iptv.rumsport7.live/live_abr/55840/720p/chunks.m3u8?is_vip=false&token=689c3f3f7d208b761cc35844479460e2aed4fad0&x-sign=35489b85ab4efc80351054738251fe61&x-time=1782341160
Baseball#New York Yankees VS Detroit Tigers | MLB#https://livecdn-bp-iptv.rumsport7.live/live_abr/55843/720p/chunks.m3u8?is_vip=false&token=689c3f3f7d208b761cc35844479460e2aed4fad0&x-sign=90717c11dc0e87baa9be0b8ff4e62bbf&x-time=1782341160
Baseball#Seattle Mariners VS Pittsburgh Pirates | MLB#https://livecdn-bp-iptv.rumsport7.live/live_abr/55841/720p/chunks.m3u8?is_vip=false&token=689c3f3f7d208b761cc35844479460e2aed4fad0&x-sign=c9ecd774d395328740a02f58588765d1&x-time=1782341220
Baseball#Kansas City Royals VS Tampa Bay Rays | MLB#https://livecdn-bp-iptv.rumsport7.live/live_abr/55842/720p/chunks.m3u8?is_vip=false&token=689c3f3f7d208b761cc35844479460e2aed4fad0&x-sign=24ad067ca3b5a40fd525597e55a0656e&x-time=1782341220
